Snake,id_part,id_node,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr
0,layer10_83463,layer12_88323,3104550799919983488,96.81760924836836,-4.508797629281955,3.101433097525631,-4.903031703538234,-1.790041222387146,23.697243,3.972402,0.017117286,0.016893817,0.016302248,0.13938886,0.07636917
0,layer10_83463,layer12_88323,3104551177877103872,96.7880970144843,-4.4783414217695885,3.156632449526359,-4.083532560432107,-2.43681524552477,14.966042,13.522111,0.026613178,0.025091738,0.02369075,0.13726051,0.14375417
0,layer10_83463,layer12_88323,3104551311015121920,96.80870466151772,-4.453141345074728,2.9981834165795265,-5.199487421721408,-1.643420032757268,,,0.22844389,0.19704266,0.2010275,0.16563407,0.17690948
0,layer10_83463,layer12_88323,3104551414093862400,96.71084933606498,-4.504474723448211,3.150322217079021,-4.782964397488963,-2.0616288565850667,,,0.13823912,0.1330456,0.12704335,0.045567326,0.1325819
0,layer10_83463,layer12_88323,3104553995375595392,96.82289614664322,-4.386860085575347,3.250280697465456,-4.619486090952575,-2.073564634870499,,,0.06614603,0.06278835,0.06618189,0.054277144,0.021800775
0,layer10_83463,layer12_88323,3104557568788221312,97.19642553188788,-4.336360748574045,3.191195841867746,-4.697046781581114,-1.6570134374538967,,,0.024388246,0.024680687,0.02375594,0.20443743,0.05971349
0,layer10_83463,layer12_88323,3104558732721761920,97.1419193134447,-4.279034325923877,2.9839902103438645,-4.999903505270174,-1.7539416020906446,,,0.05358403,0.05438131,0.054222498,0.25033212,0.027304595
0,layer10_83463,layer12_88323,3104561893816700800,97.07043584514314,-4.262099560183792,3.137648115982163,-5.074992587724389,-1.718442671359088,,,0.27048722,0.30999202,0.28176007,0.08915647,0.019393045
0,layer10_83463,layer12_88323,3104566467960800128,97.49129390337151,-4.338111943664553,3.223222227477956,-4.776199354925857,-1.95659575780501,,,0.083435595,0.09224099,0.10659205,-0.2380044,0.3571417
0,layer10_83463,layer12_88323,3104566845914864384,97.43052248525672,-4.3452070098435325,3.36376391407217,-4.424869795519202,-2.339389758074208,,,0.30156237,0.37517583,0.34149256,0.012564935,0.068942
0,layer10_83463,layer12_88323,3104576260486160512,97.67524159494047,-4.143818956432936,3.4084782382919885,-5.026951064209763,-2.2659041377541387,,,0.14460787,0.14204985,0.14491175,0.05311242,0.10210752
0,layer10_83463,layer12_88323,3104576668504245632,97.48388198146786,-4.233524606553597,3.133598173987614,-4.989427448785182,-1.8417762684826464,,,0.052204244,0.051848732,0.04934332,0.06520925,0.21331987
0,layer10_83463,layer12_88323,3104582376519289600,97.18144722674124,-4.2476281714256166,3.3086956731374766,-4.505628116802516,-2.038956400920964,,,0.080975614,0.08815665,0.08158863,0.3076899,-0.0839731
0,layer10_83463,,3104585602036250112,97.15594011298126,-4.217812911056774,3.568935217104164,-4.913304994088072,-1.9906493806248968,,,0.20949507,0.24504259,0.21802552,0.3010647,-0.17366368
0,layer10_83463,,3104589866942139776,97.392976486911,-4.165001875925226,4.181469669778281,-7.244364249579798,-3.588466611448161,,,0.033703312,0.032227937,0.0317805,0.13131306,0.20360592
0,layer10_83463,,3104591584929026304,97.38346335826536,-4.078307900895502,3.570969596876556,-5.102283893889647,-2.113124383834614,,,0.0660893,0.061134577,0.058713213,0.19258836,0.18377171
0,layer10_83463,layer12_88323,3104591653648488192,97.40852262590614,-4.066452553603932,2.91185528198684,-4.556137538150237,-1.8635953655364883,36.458237,19.429098,0.01522831,0.014055728,0.014668143,0.19849108,0.29568943
0,layer10_83463,,3104591653648488320,97.4089125436599,-4.067288907534766,2.8201523230624144,-5.519286247612407,-1.953038060285372,,,0.028555129,0.028915389,0.027590541,0.23444024,0.3046533
